term,score
disitu,1.098499251449796
why,1.0962967258918397
now,1.0950380872212808
nyampe,1.0936621206079586
la,1.0926427719735663
bkn,1.092180270792642
aj,1.0898230461088416
sistem penjelasan,1.0856715868557487
mengerti,1.0855657152663802
diisi,1.0846722463789753
unsur dewasa,1.0842631289403266
dear,1.0813402922138526
ratinggame,1.0800285876055327
say,1.0799088699572534
sebatas,1.0793070089289325
dikeluarkan,1.078054683574801
proyek,1.0780320825147038
anak umur,1.0766188175394
while,1.075898621164764
gaji,1.0753551656431464
time,1.0749809029851713
transparansi kriteria,1.0709808853285219
infonya,1.0685646180092458
yet,1.0664620940697054
berantakan,1.0658928916092785
this shit,1.0649554059358781
kabar,1.064168028505203
klarifikasi masih,1.063177106857073
masih deklarasi,1.0621527184699415
info masih,1.0617684556485354
datanya belum,1.0594627945563677
viral,1.0593828219374213
masih bersifat,1.0581630800192607
muak,1.0576016253504574
literally,1.0565158368153724
mandiri,1.056284493667611
ngapain bikin,1.0553398118598958
resmi referensi,1.0552848634549732
being,1.0520988686725044
tidak masuk,1.0514403739419202
kerjain,1.0508852205075245
generasi,1.0493282372404236
ngeles,1.0485075683693583
pengembangan,1.0462035821588513
status,1.045029835787597
berkurang,1.044319998671173
